   249: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   250: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   251: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   252: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   253: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   254: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   255: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   256: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   257: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   258: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   259: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   260: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   261: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   262: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   263: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   264: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   265: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   266: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   267: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   268: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   269: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   270: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   271: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   272: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   273: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   274: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   275: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   276: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   277: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   278: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   279: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
   280: O    ==> opls_116b           OW_SPCE <===  MOD: APS; corrected for SPC
   281: H    ==> opls_117b           HW_SPCE <===  MOD: APS; corrected for SPC
