   310: H    ==> opls_146            HA     <=== 	Good
   311: C    ==> opls_145            CA     <=== 	Good
   312: H    ==> opls_146            HA     <=== 	Good
   313: H    ==> opls_146            HA     <=== 	Good
   314: O    ==> opls_180            OS     <=== 	Good
   315: C    ==> opls_182            CT     <=== 	Good
   316: C    ==> opls_158            CT     <=== 	Good
   317: H    ==> opls_185            HC     <=== 	Good
   318: H    ==> opls_185            HC     <=== 	Good
   319: O    ==> opls_154            OH     <=== 	Good
   320: C    ==> opls_135            CT     <=== 	Good
   321: H    ==> opls_140            HC     <=== 	Good
   322: H    ==> opls_140            HC     <=== 	Good
   323: H    ==> opls_140            HC     <=== 	Good
   324: H    ==> opls_140            HC     <=== 	Good
   325: H    ==> opls_140            HC     <=== 	Good
   326: H    ==> opls_140            HC     <=== 	Good
   327: H    ==> opls_140            HC     <=== 	Good
   328: H    ==> opls_155            HO     <=== 	Good
   329: H    ==> opls_155            HO     <=== 	Goo
   330: H    ==> opls_140            HC     <=== 	Good
   331: C    ==> opls_135            CT     <=== 	Good
   332: O    ==> opls_154            OH     <=== 	Good
   333: C    ==> opls_158            CT     <=== 	Good
   334: H    ==> opls_140            HC     <=== 	Good
   335: C    ==> opls_182            CT     <=== 	Good
   336: H    ==> opls_140            HC     <=== 	Good
   337: O    ==> opls_180            OS     <=== 	Good
   338: H    ==> opls_185            HC     <=== 	Good
   339: H    ==> opls_185            HC     <=== 	Good
   340: C    ==> opls_145            CA     <=== 	Good
   341: C    ==> opls_145            CA     <=== 	Good
   342: C    ==> opls_145            CA     <=== 	Good
   343: C    ==> opls_145            CA     <=== 	Good
   344: H    ==> opls_146            HA     <=== 	Good
   345: C    ==> opls_145            CA     <=== 	Good
   346: H    ==> opls_146            HA     <=== 	Good
   347: C    ==> opls_145            CA     <=== 	Good
   348: H    ==> opls_146            HA     <=== 	Good
   349: H    ==> opls_146            HA     <=== 	Good
   350: C    ==> opls_149            CT     <=== 	Good
   351: C    ==> opls_145            CA     <=== 	Good
   352: C    ==> opls_145            CA     <=== 	Good
   353: C    ==> opls_145            CA     <=== 	Good
   354: C    ==> opls_145            CA     <=== 	Good
